PS|FOLDER|PLAN|PARTICIPANT|Plan Num                                -PS5|Part Id                                 -PS7|Source                                  -PS8|SOURCE ELIGIBITY DATE                   -PS100|PROJECTED SOURCE ELIGIBILY DAT          -PS110|First Cntrb Date                        -PS120|VEST OVR PCT                            -PS200|VEST OVR IND                            -PS210|Udf Date 01                             -PS601|Udf Date 02                             -PS602|ESCALATOR CREATION DATE                 -PS603|ESCALATOR NEXT INCREASE DATE            -PS604|Roth IRR Rollover Event date            -PS605|DEFERRAL % ELECTED                      -PS611|DEFERRAL % ACTUAL                       -PS612|DEFERRAL % PRIOR                        -PS613|CATCH-UP % ACTUAL                       -PS614|CATCH-UP % PRIOR                        -PS615|Udf Rate 06                             -PS616|DEFERRAL $ ELECTED                      -PS621|DEFERRAL $ ACTUAL                       -PS622|DEFERRAL $ PRIOR                        -PS623|CATCH-UP $ ACTUAL                       -PS624|CATCH-UP $ PRIOR                        -PS625|Roth IRR Rollover Basis                 -PS626|Roth IRR Rollover After Tax Basis       -PS627|Prior Taxable Amount                    -PS628|Udf Code 01                             -PS631|Udf Code 02                             -PS632|RATE ESCALATOR FREQUENCY                -PS633|Udf Code 04                             -PS634|Udf Code 05                             -PS635|Udf Code 06                             -PS636|Udf Code 07                             -PS637|Udf Code 08                             -PS638|Udf Code 09                             -PS639|Udf Code 10                             -PS640|Udf Text 01                             -PS651|Udf Text 02                             -PS652|SPLIT DEFERRAL RATE1                    -PS653|ESCALATOR PERCENTAGE RATE               -PS711|MAXIMUM ESCALATOR PERCENTAGE            -PS712|UX Rate (3)                             -PS713|Elected Supplemental Percent            -PS714|Actual Supplemental Percent             -PS715|Prior Supplemental Percent              -PS716|ESCALATOR DOLLAR AMOUNT                 -PS721|MAXIMUM ESCALATOR AMOUNT                -PS722|Future Catch-up Deferral Dollar Amount  -PS723|Elected Supplemental Dollar Amount      -PS724|Actual Supplemental Dollar Amount       -PS725|Prior Supplemental Dollar Amount        -PS726
PS|T801_REG_6036|559176|559176036|559176|559176036        |A|0|0|0|0|0|0|0|0|0|0|9.02|9.02|0|0|0|0|0|0|0|0|0|0|0|0| | | | | | | | | | |          |          |0|0|0|0|0|0|0|0|0|0|0|0|0
PS|T801_REG_6036|559176|559176036|559176|559176036        |D|0|0|0|0|0|0|0|0|0|0|9.02|9.02|0|0|0|0|0|0|0|0|0|0|0|0| | | | | | | | | | |          |          |0|0|0|0|0|0|0|0|0|0|0|0|0
PS|T801_REG_6037|559176|559176037|559176|559176037        |A|0|0|0|0|0|0|0|0|0|0|8.03|8.03|0|0|0|0|0|0|0|0|0|0|0|0| | | | | | | | | | |          |          |0|0|0|0|0|0|0|0|0|0|0|0|0
PS|T801_REG_6037|559176|559176037|559176|559176037        |D|0|0|0|0|0|0|0|0|0|0|8.03|8.03|0|0|0|0|0|0|0|0|0|0|0|0| | | | | | | | | | |          |          |0|0|0|0|0|0|0|0|0|0|0|0|0
PS|T801_REG_6038|559176|559176038|559176|559176038        |A|0|0|0|0|0|0|0|0|0|0|9.03|9.03|0|0|0|0|0|0|0|0|0|0|0|0| | | | | | | | | | |          |          |0|0|0|0|0|0|0|0|0|0|0|0|0
PS|T801_REG_6038|559176|559176038|559176|559176038        |D|0|0|0|0|0|0|0|0|0|0|9.03|9.03|0|0|0|0|0|0|0|0|0|0|0|0| | | | | | | | | | |          |          |0|0|0|0|0|0|0|0|0|0|0|0|0
PS|T801_REG_6039|559176|559176039|559176|559176039        |A|0|0|0|0|0|0|0|0|0|0|8.04|8.04|0|0|0|0|0|0|0|0|0|0|0|0| | | | | | | | | | |          |          |0|0|0|0|0|0|0|0|0|0|0|0|0
PS|T801_REG_6039|559176|559176039|559176|559176039        |D|0|0|0|0|0|0|0|0|0|0|8.04|8.04|0|0|0|0|0|0|0|0|0|0|0|0| | | | | | | | | | |          |          |0|0|0|0|0|0|0|0|0|0|0|0|0
PS|T801_REG_6040|559176|559176040|559176|559176040        |A|0|0|0|0|0|0|0|0|0|0|9.04|9.04|0|0|0|0|0|0|0|0|0|0|0|0| | | | | | | | | | |          |          |0|0|0|0|0|0|0|0|0|0|0|0|0
PS|T801_REG_6040|559176|559176040|559176|559176040        |D|0|0|0|0|0|0|0|0|0|0|9.04|9.04|0|0|0|0|0|0|0|0|0|0|0|0| | | | | | | | | | |          |          |0|0|0|0|0|0|0|0|0|0|0|0|0
